"id","state","county","year_month"
45749,"OH","Medina","2012-01"
45751,"OH","Lake","2012-01"
45755,"OH","Cuyahoga","2012-01"
45759,"OH","Portage","2012-01"
45761,"OH","Lucas","2012-01"
45763,"OH","Montgomery","2012-01"
45769,"PA","Erie","2012-03"
45776,"SC","Union","2012-02"
45787,"SC","Spartanburg","2012-02"
45807,"LA","Rapides","2012-01"
45809,"LA","East Baton Rouge","2012-01"
45813,"MA","Hampden","2012-01"
45867,"LA","Jefferson","2012-01"
45869,"LA","Ouachita","2012-01"
45875,"MA","Worcester","2012-01"
45879,"MA","Barnstable","2012-01"
45881,"MA","Plymouth","2012-01"
45887,"MA","Hampshire","2012-01"
45891,"MA","Plymouth","2012-01"
45893,"MA","Worcester","2012-01"
45895,"MA","Essex","2012-01"
45897,"MA","Middlesex","2012-01"
45899,"MA","Middlesex","2012-01"
45903,"MA","Bristol","2012-01"
45905,"MA","Plymouth","2012-01"
45907,"MA","Norfolk","2012-01"
45909,"MA","Berkshire","2012-01"
45911,"MA","Norfolk","2012-01"
45913,"MA","Bristol","2012-01"
45962,"HI","Maui","2011-03"
45968,"HI","Honolulu","2011-03"
45982,"HI","Kauai","2012-01"
46378,"TX","Harris","2012-02"
46424,"OH","Stark","2012-04"
46457,"SC","Richland","2012-01"
46460,"SC","Sumter","2012-04"
46461,"SC","Sumter","2012-04"
46470,"TN","Davidson","2011-07"
46484,"GA","Chatham","2012-01"
46489,"GA","Thomas","2012-01"
46491,"GA","Tift","2012-01"
46493,"GA","Lowndes","2012-01"
46519,"CA","Los Angeles","2017-04"
46521,"CO","Arapahoe","2012-01"
46525,"CO","Arapahoe","2012-01"
46527,"CO","El Paso","2012-01"
46529,"CO","El Paso","2012-01"
46533,"CO","La Plata","2012-01"
46539,"CO","Jefferson","2012-01"
46542,"CO","Jefferson","2012-01"
46544,"CO","Boulder","2012-01"
46546,"CO","Pueblo","2012-01"
46551,"CT","South Central Connecticut","2012-01"
46561,"FL","Charlotte","2012-01"
46563,"FL","Pinellas","2012-01"
46565,"FL","Pinellas","2012-01"
46567,"FL","Broward","2012-01"
46569,"FL","Volusia","2012-01"
46572,"FL","Lee","2012-01"
46574,"FL","St. Lucie","2012-01"
46576,"FL","Alachua","2012-01"
46578,"FL","Duval","2012-01"
46580,"FL","Duval","2012-01"
46583,"FL","Polk","2012-01"
46585,"FL","Lake","2012-01"
46587,"FL","Seminole","2012-01"
46591,"FL","Brevard","2012-01"
46594,"FL","Collier","2012-01"
46596,"FL","Pasco","2012-01"
46598,"FL","Marion","2012-01"
46602,"FL","Orange","2012-01"
46605,"FL","Orange","2012-01"
46607,"FL","Orange","2012-01"
46609,"FL","Putnam","2012-01"
46614,"FL","Escambia","2012-01"
46616,"FL","Broward","2012-01"
46620,"FL","Palm Beach","2012-01"
46622,"FL","Palm Beach","2012-01"
46624,"FL","St. Johns","2012-01"
46626,"FL","Pinellas","2012-01"
46628,"FL","Sarasota","2012-01"
46633,"FL","Leon","2012-01"
46635,"FL","Brevard","2012-01"
46639,"FL","Pasco","2012-01"
46641,"GA","Dougherty","2012-01"
46644,"GA","Richmond","2012-01"
46646,"GA","Clarke","2012-01"
46648,"GA","Carroll","2012-01"
46650,"GA","Muscogee","2012-01"
46652,"GA","Rockdale","2012-01"
46659,"GA","Bibb","2012-01"
46663,"GA","Baldwin","2012-01"
46668,"AL","Marshall","2012-01"
46670,"AL","Covington","2012-01"
46672,"AL","Lee","2012-01"
46674,"AL","Jefferson","2012-01"
46676,"AL","Jefferson","2012-01"
46678,"AL","Jefferson","2012-01"
46680,"AL","Chilton","2012-01"
46682,"AL","Houston","2012-01"
46684,"AL","Coffee","2012-01"
46686,"AL","Lauderdale","2012-01"
46689,"AL","Etowah","2012-01"
46691,"AL","Madison","2012-01"
46693,"AL","Mobile","2012-01"
46695,"AL","Calhoun","2012-01"
46710,"CA","San Mateo","2012-01"
46722,"CA","Alameda","2012-01"
46725,"CA","Solano","2012-01"
46731,"CA","Los Angeles","2011-08"
46744,"CA","San Bernardino","2012-01"
46792,"ID","Ada","2012-01"
46794,"ID","Bonneville","2012-01"
46798,"IL","Cook","2012-01"
46800,"IL","McLean","2012-01"
46802,"IL","Kankakee","2012-01"
46810,"IL","Cook","2012-01"
46812,"IL","McHenry","2012-01"
46814,"IL","Macon","2012-01"
46818,"IL","DuPage","2012-01"
46820,"IL","Cook","2012-01"
46822,"IL","Cook","2012-01"
46827,"IL","DuPage","2012-01"
46833,"IL","Kane","2012-01"
46838,"IL","Kane","2012-01"
46842,"IN","Hamilton","2012-05"
46849,"KS","Wyandotte","2019-09"
46850,"KY","Boyle","2012-10"
46852,"KY","Laurel","2012-01"
46857,"MA","Essex","2011-12"
46991,"GA","Fulton","2012-05"
46997,"NC","Rutherford","2012-01"
46999,"NC","Gaston","2012-01"
47004,"NC","Guilford","2012-01"
47006,"NC","Pitt","2012-01"
47009,"NC","Henderson","2012-01"
47011,"NC","Catawba","2012-01"
47012,"NC","Guilford","2011-03"
47014,"NC","Onslow","2012-01"
47019,"NC","Craven","2012-01"
47025,"NC","Rockingham","2012-01"
47030,"NC","Surry","2012-01"
47031,"NC","Richmond","2012-01"
47033,"NC","Rowan","2012-01"
47035,"NC","Lee","2012-01"
47037,"NC","Moore","2012-01"
47041,"NC","Wake","2012-01"
47043,"NC","Wilkes","2012-01"
47045,"NC","New Hanover","2012-01"
47047,"NC","Wilson","2012-01"
47049,"NC","Forsyth","2012-01"
47054,"OK","Cleveland","2012-01"
47056,"OK","Oklahoma","2012-01"
47058,"OK","Oklahoma","2012-01"
47060,"OK","Tulsa","2012-01"
47069,"SC","Aiken","2012-01"
47071,"SC","Charleston","2012-01"
47074,"SC","Pickens","2012-01"
47080,"SC","Greenwood","2012-01"
47085,"SC","Lexington","2011-03"
47087,"SC","Horry","2012-01"
47089,"SC","Charleston","2012-01"
47091,"SC","Orangeburg","2012-01"
47093,"SC","Georgetown","2012-01"
47095,"SC","York","2012-01"
47097,"SC","Spartanburg","2012-01"
47099,"SC","Sumter","2012-01"
47116,"WI","Outagamie","2012-03"
47118,"NC","Mecklenburg","2012-01"
47120,"NC","Mecklenburg","2012-01"
47122,"NC","Cabarrus","2011-03"
