"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Lane","OR",375264,378549,382067,383279,384063,382353,381742,381742
"Langlade","WI",19175,19236,19189,19462,19505,19559,19621,19621
"Lanier","GA",10425,10355,10423,9926,10052,10171,10280,10280
"Lapeer","MI",88122,87921,87607,88572,88686,88780,88808,88808
"LaPorte","IN",109842,109981,109888,112276,112486,111675,112152,112152
"Laramie","WY",98377,98865,99500,100718,100794,100723,101187,101187
"Larimer","CO",344084,350660,356899,359899,362713,366778,369145,369145
"Larue","KY",14196,14299,14398,14877,15024,15163,15210,15210
"Las Animas","CO",14201,14508,14506,14482,14318,14327,14420,14420
"LaSalle","IL",109622,109159,108669,109421,109139,108078,107801,107801
"LaSalle Parish","LA",14887,14901,14892,14822,14793,14729,14677,14677
"Lassen","CA",30920,30618,30573,32317,31813,29904,29855,29855
"Latah","ID",39741,39829,40108,39629,40397,40978,41521,41521
"Latimer","OK",10318,10175,10073,9481,9482,9630,9712,9712
"Lauderdale","AL",92564,92604,92729,94025,94862,95878,96524,96524
"Lauderdale","MS",76309,75238,74125,72672,71871,70904,70896,70896
"Lauderdale","TN",26093,25997,25633,25120,24922,24793,25058,25058
"Laurel","KY",60317,60660,60813,62728,62592,62885,63078,63078
"Laurens","GA",47376,47336,47546,49544,49527,49660,50190,50190
"Laurens","SC",66822,66890,67493,67624,67817,67965,69135,69135
"Lavaca","TX",20028,20114,20154,20348,20490,20589,20914,20914
"Lawrence","AL",33063,32941,32924,33089,33123,33214,33438,33438
"Lawrence","AR",16571,16432,16406,16212,16316,16205,16323,16323
"Lawrence","IL",16027,15813,15678,15258,15216,14914,14876,14876
"Lawrence","IN",45592,45630,45370,45012,45045,45222,45415,45415
"Lawrence","KY",15756,15583,15317,16303,16268,16109,16159,16159
"Lawrence","MO",38256,38264,38355,37977,38268,38683,38797,38797
"Lawrence","MS",12629,12448,12586,11982,11774,11713,11712,11712
"Lawrence","OH",60075,59767,59463,58136,57400,56653,56797,56797
"Lawrence","PA",86546,86128,85512,85959,85554,84849,84782,84782
"Lawrence","SD",25677,25727,25844,25838,26138,27214,27498,27498
"Lawrence","TN",43388,43771,44142,44182,44729,45415,45900,45900
"Le Flore","OK",50020,50093,49853,48195,48601,48907,49321,49321
"Le Sueur","MN",28210,28588,28887,28639,28918,29153,29259,29259
"Lea","NM",69046,69543,71070,74635,73103,72452,72488,72488
"Leake","MS",22819,22791,22786,21245,21247,21135,21133,21133
"Leavenworth","KS",81109,81497,81758,81953,82322,82892,82988,82988
"Lebanon","PA",139553,141339,141793,143282,143809,144011,143897,143897
"Lee","AL",161440,163656,164542,174742,177655,180773,181991,181991
"Lee","AR",9127,8976,8857,8528,8559,8364,8425,8425
"Lee","FL",740000,754470,770577,765504,790676,822453,835982,835982
"Lee","GA",29410,29751,29992,33215,33194,33642,34001,34001
"Lee","IA",34216,33909,33657,33520,33208,32840,32907,32907
"Lee","IL",34540,34296,34096,34051,34166,33848,33761,33761
"Lee","KY",6602,7052,7403,7372,7454,7261,7284,7284
"Lee","MS",85071,85276,85436,83310,83043,82959,82949,82949
"Lee","NC",60403,61208,61779,63428,64097,65476,66312,66312
"Lee","SC",17388,17294,16828,16533,16266,16153,16432,16432
"Lee","TX",17109,17097,17239,17502,17671,17954,18238,18238
"Lee","VA",23900,23656,23423,22107,22061,21982,22064,22064
"Leelanau","MI",21645,21714,21761,22312,22630,22870,22878,22878
"Leflore","MS",29292,28616,28183,28191,27398,26570,26567,26567
"Lehigh","PA",365577,368359,369318,374477,375760,376317,376018,376018
"Lemhi","ID",7829,7932,8027,7958,8136,8240,8350,8350
"Lenawee","MI",98427,98141,98451,99320,99202,98567,98598,98598
"Lenoir","NC",56622,55990,55949,55050,54693,54633,55331,55331
"Leon","FL",290965,291657,293582,293948,296081,297369,302261,302261
"Leon","TX",17235,17260,17404,15731,15985,16209,16465,16465
"Leslie","KY",10310,10151,9877,10471,10298,10093,10124,10124
"Letcher","KY",22303,21813,21553,21465,21245,20893,20958,20958
"Levy","FL",40276,40798,41503,43059,44158,45260,46005,46005
"Lewis","ID",3884,3832,3838,3528,3709,3763,3813,3813
"Lewis","KY",13363,13268,13275,13082,13006,12954,12994,12994
"Lewis","MO",9952,9839,9776,10039,9986,9891,9921,9921
"Lewis","NY",26605,26486,26296,26551,26745,26699,26556,26556
"Lewis","TN",12025,12074,12268,12602,12854,12957,13096,13096
"Lewis","WA",78320,79569,80707,82556,84575,85370,85668,85668
"Lewis","WV",16178,16017,15907,17016,16897,16767,16719,16719
"Lewis and Clark","MT",67850,68622,69432,71168,72503,73832,74486,74486
"Lexington","SC",290338,294350,298750,295033,300482,304797,310043,310043
"Lexington city","VA",7154,7297,7446,7321,7433,7457,7485,7485
"Liberty","FL",8236,8427,8354,7805,7308,7603,7729,7729
"Liberty","GA",61619,60606,61435,65317,66844,68030,68756,68756
"Liberty","MT",2407,2416,2337,1956,1934,1972,1990,1990
"Liberty","TX",83597,85802,88219,92465,97382,101992,103601,103601
"Licking","OH",173617,175666,176862,178769,179962,181359,181820,181820
"Limestone","AL",94130,96177,98915,104190,107381,110900,111647,111647
"Limestone","TX",23391,23343,23437,22139,22125,22253,22605,22605
"Lincoln","AR",13475,13184,13024,12889,13151,12916,13010,13010
"Lincoln","CO",5523,5606,5701,5665,5477,5510,5546,5546
"Lincoln","GA",7856,7925,7921,7701,7750,7841,7925,7925
"Lincoln","ID",5376,5398,5366,5129,5260,5329,5400,5400
"Lincoln","KS",3043,2998,2962,2948,2907,2899,2903,2903
"Lincoln","KY",24495,24612,24549,24249,24227,24360,24435,24435
"Lincoln","ME",34215,34399,34634,35249,35985,36215,36487,36487
"Lincoln","MN",5665,5668,5639,5628,5563,5580,5601,5601
"Lincoln","MO",56045,57613,59013,59849,61654,63155,63342,63342
"Lincoln","MS",34340,34210,34153,34822,34907,34717,34713,34713
"Lincoln","MT",19556,19797,19980,19739,20571,21525,21716,21716
"Lincoln","NC",82557,84092,86111,87206,89870,93095,94283,94283
"Lincoln","NE",35265,35148,34914,34534,34078,33685,33864,33864
"Lincoln","NM",19468,19518,19572,20313,20421,20411,20421,20421
"Lincoln","NV",5191,5237,5183,4448,4433,4482,4506,4506
"Lincoln","OK",34961,34837,34877,33495,33856,34188,34478,34478
"Lincoln","OR",48757,49224,49962,50507,51026,50813,50732,50732
"Lincoln","SD",56681,58795,61128,65650,67995,70987,71728,71728
"Lincoln","TN",33892,34189,34366,35335,35451,36004,36388,36388
"Lincoln","WA",10585,10726,10939,10927,11277,11601,11642,11642
"Lincoln","WI",27751,27673,27593,28429,28453,28376,28465,28465
"Lincoln","WV",20872,20583,20409,20363,20191,19901,19844,19844
"Lincoln","WY",19278,19445,19830,19657,20170,20660,20756,20756
"Lincoln Parish","LA",47471,47112,46742,48304,48153,48129,47957,47957
"Linn","IA",224379,225763,226706,230411,229458,229033,229498,229498
"Linn","KS",9697,9771,9703,9586,9730,9796,9808,9808
"Linn","MO",12168,12039,11920,11852,11843,11820,11855,11855
"Linn","OR",125035,127451,129749,128978,129948,130467,130259,130259
"Lipscomb","TX",3364,3342,3233,3036,2907,2854,2900,2900
"Litchfield","CT",181667,181095,180333,NA,NA,NA,NA,NA
"Little River","AR",12373,12297,12259,11975,11954,11821,11907,11907
"Live Oak","TX",12146,12148,12207,11349,11383,11428,11609,11609
"Livingston","IL",36124,35714,35648,35779,35741,35521,35430,35430
"Livingston","KY",9249,9244,9194,8873,8984,8963,8991,8991
"Livingston","MI",189869,191190,191995,193971,195277,196161,196223,196223
"Livingston","MO",15157,15181,15227,13988,14223,14402,14445,14445
"Livingston","NY",63483,63213,62914,61728,61629,61516,61185,61185
"Livingston Parish","LA",137712,139394,140789,142824,146230,148425,147892,147892
"Llano","TX",21167,21600,21795,21285,22013,22540,22896,22896
"Logan","AR",21739,21673,21466,21103,21207,21253,21408,21408
"Logan","CO",22317,22268,22409,21204,21122,20823,20958,20958
"Logan","IL",29034,28912,28618,27899,27970,27591,27521,27521
"Logan","KS",2814,2812,2794,2743,2710,2705,2709,2709
"Logan","KY",27003,26983,27102,27515,27815,27877,27963,27963
"Logan","ND",1919,1887,1850,1890,1882,1855,1867,1867
"Logan","NE",765,755,748,715,684,675,679,679
"Logan","OH",45198,45332,45672,46106,46129,46040,46158,46158
"Logan","OK",46785,47248,48011,49743,50924,51933,52373,52373
"Logan","WV",33028,32609,32019,32510,31917,31316,31227,31227
"Long","GA",18780,19091,19559,16269,17089,18348,18544,18544
"Lonoke","AR",72778,73391,73309,74046,74766,75225,75771,75771
"Lorain","OH",307441,309052,309833,313495,314165,316268,317072,317072
"Los Alamos","NM",18742,18988,19369,19415,19340,19187,19197,19197
"Los Angeles","CA",10103711,10073906,10039107,9992236,9811842,9721138,9705161,9705161
"Loudon","TN",52260,53082,54068,55127,56672,58181,58802,58802
"Loudoun","VA",397049,405522,413538,422669,428435,432085,433682,433682
"Louisa","IA",11195,11153,11035,10821,10747,10677,10699,10699
"Louisa","VA",35912,36784,37591,37798,39032,40116,40265,40265
"Loup","NE",604,617,664,603,598,599,603,603
"Love","OK",10076,10156,10253,10159,10244,10218,10305,10305
"Loving","TX",133,148,169,65,57,51,52,52
"Lower Connecticut River Valley Planning Region","CT",NA,NA,NA,173927,176095,176622,176183,176183
"Lowndes","AL",10097,9974,9726,10273,9926,9777,9843,9843
"Lowndes","GA",115404,116309,117406,118415,118914,119739,121016,121016
"Lowndes","MS",59147,58760,58595,58767,58129,57603,57596,57596
"Lubbock","TX",305413,307627,310569,311564,314597,317561,322571,322571
"Lucas","IA",8533,8617,8600,8620,8696,8689,8707,8707
"Lucas","OH",431039,429612,428348,430834,429360,426643,427728,427728
"Luce","MI",6370,6327,6229,5336,5337,5330,5332,5332
"Lumpkin","GA",32801,32899,33610,33631,32890,34796,35167,35167
"Luna","NM",24100,23877,23709,25447,25486,25749,25762,25762
"Lunenburg","VA",12333,12215,12196,11947,11997,12031,12076,12076
"Luzerne","PA",317808,317859,317417,325197,325889,326369,326110,326110
"Lycoming","PA",114012,113866,113299,114108,113595,113104,113014,113014
"Lyman","SD",3876,3804,3781,3709,3753,3692,3731,3731
"Lynchburg city","VA",80523,81309,82168,78973,79118,79287,79580,79580
"Lynn","TX",5832,5848,5951,5610,5652,5724,5815,5815
"Lyon","IA",11785,11815,11755,11927,12061,12179,12204,12204
"Lyon","KS",33257,33300,33195,32107,31987,31898,31935,31935
"Lyon","KY",8261,8171,8210,8678,8436,9101,9129,9129
"Lyon","MN",25929,25583,25474,25170,25267,25262,25354,25354
"Lyon","NV",53895,55813,57510,59466,60927,61585,61903,61903
"Mackinac","MI",10768,10781,10799,10816,10899,10941,10945,10945
"Macomb","MI",871364,872795,873972,880176,877385,874195,874470,874470
"Macon","AL",18793,18321,18068,19473,18906,18516,18641,18641
"Macon","GA",13254,13160,12947,12021,11832,11765,11891,11891
"Macon","IL",105399,104504,104009,103756,102649,101483,101223,101223
"Macon","MO",15262,15167,15117,15197,15167,15049,15094,15094
"Macon","NC",34581,35274,35858,37092,37488,38065,38551,38551
"Macon","TN",23905,24289,24602,25263,25682,26229,26509,26509
"Macoupin","IL",45505,45318,44926,44845,44545,44245,44132,44132
"Madera","CA",155423,156882,157327,156343,158910,160256,159993,159993
"Madison","AL",361762,367004,372909,390502,396593,403565,406283,406283
"Madison","AR",16299,16362,16576,16546,16936,17486,17613,17613
"Madison","FL",18474,18540,18493,17866,18069,18198,18498,18498
"Madison","GA",29295,29642,29880,30269,30883,31473,31809,31809
"Madison","IA",16000,16206,16338,16628,16789,17036,17071,17071
"Madison","ID",39370,39261,39907,52929,54114,54976,55705,55705
"Madison","IL",265251,264026,262966,265610,264898,263864,263186,263186
"Madison","IN",129418,129573,129569,130195,130979,131744,132307,132307
"Madison","KY",91170,92107,92987,92983,93473,95187,95480,95480
"Madison","MO",12230,12188,12088,12626,12671,12753,12791,12791
"Madison","MS",104584,105648,106272,109251,109919,111113,111100,111100
"Madison","MT",8291,8530,8600,8660,8944,9265,9348,9348
"Madison","NC",21563,21665,21755,21228,21645,21768,22046,22046
"Madison","NE",35132,35189,35099,35521,35360,35368,35556,35556
"Madison","NY",70942,71117,70941,67927,67397,67097,66736,66736
"Madison","OH",44041,44389,44731,43853,44404,43540,43651,43651
"Madison","TN",97491,97603,97984,98833,98585,99245,100303,100303
"Madison","TX",14251,14363,14284,13464,13498,13661,13877,13877
"Madison","VA",13212,13248,13261,13860,13950,14000,14052,14052
"Madison Parish","LA",11342,11196,10951,9923,9804,9478,9444,9444
"Magoffin","KY",12519,12323,12161,11604,11476,11357,11392,11392
"Mahaska","IA",22211,22018,22095,22147,21944,21946,21991,21991
"Mahnomen","MN",5567,5497,5527,5372,5387,5328,5348,5348
"Mahoning","OH",229791,229216,228683,228005,226443,225636,226210,226210
"Major","OK",7684,7627,7629,7746,7617,7502,7566,7566
"Malheur","OR",30385,30553,30571,31650,31709,31879,31829,31829
"Manassas city","VA",41141,41046,41085,42692,42765,42642,42800,42800
"Manassas Park city","VA",17149,17718,17478,17161,17082,16703,16765,16765
"Manatee","FL",385506,394387,403253,401593,413474,429125,436184,436184
"Manistee","MI",24393,24455,24558,25061,25299,25287,25295,25295
"Manitowoc","WI",79099,79015,78981,81384,81479,81172,81426,81426
"Marathon","WI",135452,135421,135692,138047,137746,137958,138390,138390
"Marengo","AL",19396,19056,18863,19266,18961,18745,18872,18872
"Maricopa","AZ",4327184,4402403,4485414,4440232,4494693,4551524,4596146,4596146
"Maries","MO",8790,8770,8697,8452,8422,8431,8456,8456
"Marin","CA",259749,259662,258826,261282,259162,256018,255598,255598
"Marinette","WI",40300,40402,40350,41885,41849,41988,42120,42120
"Marion","AL",29792,29750,29709,29166,29006,29156,29353,29353
"Marion","AR",16429,16665,16694,16877,16970,17254,17380,17380
"Marion","FL",353339,359062,365579,377459,385084,396415,402936,402936
"Marion","GA",8403,8373,8359,7530,7426,7449,7529,7529
"Marion","IA",33091,33259,33253,33408,33444,33642,33711,33711
"Marion","IL",37726,37381,37205,37639,37378,36914,36820,36820
"Marion","IN",950537,958700,964582,976631,971647,969466,973604,973604
"Marion","KS",11945,11923,11884,11778,11756,11868,11882,11882
"Marion","KY",19276,19326,19273,19588,19758,19775,19836,19836
"Marion","MO",28585,28540,28530,28480,28502,28438,28522,28522
"Marion","MS",25108,24752,24573,24370,24271,24050,24047,24047
"Marion","OH",65076,65427,65093,65399,65311,64642,64807,64807
"Marion","OR",340531,345412,347818,346339,347775,346703,346149,346149
"Marion","SC",31295,31056,30657,29083,28839,28450,28940,28940
"Marion","TN",28406,28598,28907,28865,28927,29094,29405,29405
"Marion","TX",10057,9915,9854,9751,9618,9560,9711,9711
"Marion","WV",56349,56091,56072,56230,56117,55952,55792,55792
"Mariposa","CA",17414,17405,17203,17118,17107,17020,16993,16993
"Marlboro","SC",26691,26392,26118,26481,26265,26039,26488,26488
"Marquette","MI",66493,66381,66699,66012,65800,66661,66682,66682
"Marquette","WI",15280,15418,15574,15594,15777,15779,15829,15829
"Marshall","AL",95572,96170,96774,97696,98316,99423,100093,100093
"Marshall","IA",40078,39888,39369,40093,39899,39879,39960,39960
"Marshall","IL",11668,11483,11438,11706,11686,11678,11648,11648
"Marshall","IN",46433,46296,46258,46076,46175,46332,46530,46530
"Marshall","KS",9687,9715,9707,10026,10010,9982,9994,9994
"Marshall","KY",31318,31202,31100,31685,31820,31777,31875,31875
"Marshall","MN",9361,9383,9336,9026,8979,8861,8894,8894
"Marshall","MS",35590,35436,35294,33778,33820,34110,34106,34106
"Marshall","OK",16364,16727,16931,15340,15546,15882,16017,16017
"Marshall","SD",4945,4921,4935,4315,4319,4374,4420,4420
"Marshall","TN",33020,33806,34375,34466,35032,35878,36261,36261
"Marshall","WV",31252,30821,30531,30497,30208,29752,29667,29667
"Martin","FL",159701,160742,161000,158658,160249,162006,164671,164671
"Martin","IN",10181,10219,10255,9803,9799,9803,9845,9845
"Martin","KY",11492,11325,11195,11249,11157,11095,11130,11130
"Martin","MN",19866,19772,19683,19982,19899,19650,19722,19722
"Martin","NC",22763,22660,22440,21953,21742,21508,21783,21783
"Martin","TX",5531,5681,5771,5252,5208,5217,5300,5300
"Martinsville city","VA",12823,12627,12554,13479,13549,13725,13776,13776
"Mason","IL",13677,13533,13359,13057,12859,12748,12716,12716
"Mason","KY",17192,17080,17070,17130,16965,16930,16982,16982
"Mason","MI",28996,29084,29144,29038,29381,29409,29419,29419
"Mason","TX",4179,4259,4274,3968,3929,3982,4045,4045
"Mason","WA",63740,65380,66768,66029,67229,68166,68404,68404
"Mason","WV",26806,26752,26516,25398,25290,25000,24929,24929
"Massac","IL",14291,14023,13772,14138,13966,13896,13861,13861
"Matagorda","TX",36805,36566,36643,36280,36366,36125,36695,36695
"Matanuska-Susitna Borough","AK",106232,107115,108317,107515,111059,113325,113298,113298
"Mathews","VA",8709,8792,8834,8520,8545,8490,8522,8522
"Maui","HI",166146,166972,167417,164760,164817,164351,163774,163774
"Maury","TN",92237,94273,96387,101824,105003,108159,109312,109312
"Maverick","TX",58111,58276,58722,57873,57841,57843,58756,58756
"Mayes","OK",40988,41210,41100,39053,39246,39589,39925,39925
"McClain","OK",39306,39887,40474,41911,43497,45306,45690,45690
"McCone","MT",1698,1669,1664,1730,1711,1709,1725,1725
"McCook","SD",5561,5601,5586,5673,5723,5778,5839,5839
"McCormick","SC",9554,9408,9463,9505,9782,9764,9933,9933
"McCracken","KY",65364,65307,65418,67911,67612,67490,67698,67698
"McCreary","KY",17372,17290,17231,16857,16681,16701,16753,16753
"McCulloch","TX",7941,7982,7984,7591,7532,7497,7616,7616
"McCurtain","OK",33031,32967,32832,30838,30884,30931,31193,31193
"McDonald","MO",22722,22963,22837,23286,23428,23588,23658,23658
"McDonough","IL",30373,29984,29682,27097,26848,26861,26792,26792
"McDowell","NC",45083,45465,45756,44580,44586,44753,45325,45325
"McDowell","WV",18505,18221,17624,18921,18413,17850,17799,17799
"McDuffie","GA",21511,21532,21312,21603,21636,21713,21945,21945
"McHenry","IL",307815,308251,307774,309886,311592,311747,310946,310946
"McHenry","ND",5890,5808,5745,5311,5239,5189,5221,5221
"McIntosh","GA",14080,14322,14378,10987,11051,11180,11300,11300
"McIntosh","ND",2608,2566,2497,2511,2506,2475,2490,2490
"McIntosh","OK",19701,19745,19596,18950,19262,19451,19616,19616
"McKean","PA",41362,40950,40625,40392,40292,39866,39835,39835
"McKenzie","ND",12688,13594,15024,14776,13851,13908,13992,13992
"McKinley","NM",72423,71911,71367,72578,71484,69830,69864,69864
"McLean","IL",172754,172410,171517,170954,171190,171141,170702,170702
"McLean","KY",9216,9258,9207,9134,9127,9105,9133,9133
"McLean","ND",9636,9529,9450,9756,9794,9824,9883,9883
"McLennan","TX",251631,254196,256623,261177,263714,266836,271046,271046
"McLeod","MN",35876,35827,35893,36738,36807,36714,36848,36848
"McMinn","TN",52931,53336,53794,53344,53907,54719,55303,55303
"McMullen","TX",765,731,743,598,597,576,586,586
"McNairy","TN",26001,25830,25694,25858,25854,25988,26265,26265
"McPherson","KS",28687,28528,28542,30180,30137,30012,30047,30047
"McPherson","NE",493,490,494,397,382,372,374,374
"McPherson","SD",2401,2401,2379,2402,2414,2395,2420,2420
"Meade","KS",4230,4098,4033,4054,3989,3897,3902,3902
"Meade","KY",28033,28623,28572,30030,30132,30001,30094,30094
"Meade","SD",27941,28204,28332,29900,30270,30698,31019,31019
"Meagher","MT",1852,1857,1862,1922,1960,2013,2031,2031
"Mecklenburg","NC",1078128,1093750,1110356,1116788,1125809,1145392,1160008,1160008
"Mecklenburg","VA",30693,30624,30587,30278,30300,30508,30621,30621
"Mecosta","MI",43258,43400,43453,39792,40057,40720,40733,40733
"Medina","OH",178176,178978,179746,182636,183338,183512,183979,183979
"Medina","TX",50183,50862,51584,50939,52322,53723,54571,54571
"Meeker","MN",23047,23145,23222,23431,23391,23496,23582,23582
"Meigs","OH",23071,23064,22907,22149,22085,21969,22025,22025
"Meigs","TN",12042,12297,12422,12807,13029,13272,13414,13414
"Mellette","SD",2063,2034,2061,1921,1908,1892,1912,1912
"Menard","IL",12293,12289,12196,12271,12184,12121,12090,12090
"Menard","TX",2110,2120,2138,1961,1964,1968,2000,2000
"Mendocino","CA",87576,87401,86749,91361,91003,89783,89636,89636
"Menifee","KY",6465,6437,6489,6135,6209,6250,6270,6270
"Menominee","MI",22981,22927,22780,23450,23323,23266,23274,23274
"Menominee","WI",4599,4595,4556,4256,4292,4197,4211,4211
"Merced","CA",271096,274151,277680,281814,284458,290014,289538,289538
"Mercer","IL",15608,15551,15437,15627,15568,15504,15465,15465
"Mercer","KY",21542,21702,21933,22652,22872,22902,22973,22973
"Mercer","MO",3656,3626,3617,3513,3469,3437,3448,3448
"Mercer","ND",8457,8266,8187,8348,8330,8333,8383,8383
"Mercer","NJ",368168,368188,367430,386441,382116,380688,381886,381886
"Mercer","OH",40858,40952,41172,42526,42369,42348,42456,42456
"Mercer","PA",111473,110471,109424,110534,109950,109220,109134,109134
"Mercer","WV",59869,59202,58758,59517,59215,58700,58532,58532
"Meriwether","GA",21021,21094,21167,20606,20715,20845,21068,21068
"Merrick","NE",7859,7733,7755,7655,7670,7721,7763,7763
"Merrimack","NH",149830,150650,151391,154022,154591,156020,156783,156783
"Mesa","CO",151170,152951,154210,156005,157434,158636,159660,159660
"Metcalfe","KY",10093,10070,10071,10286,10363,10370,10402,10402
"Miami","IN",35864,35646,35516,35913,36032,35674,35827,35827
"Miami","KS",33429,33737,34237,34232,34665,34867,34908,34908
"Miami","OH",105200,106042,106987,108950,109386,110247,110528,110528
"Miami-Dade","FL",2713295,2714854,2716940,2695501,2670421,2673837,2717819,2717819
"Middlesex","CT",162942,162870,162436,NA,NA,NA,NA,NA
"Middlesex","MA",1603943,1608470,1611699,1628671,1617099,1617105,1621605,1621605
"Middlesex","NJ",827363,826172,825062,861314,862328,861418,864129,864129
"Middlesex","VA",10625,10733,10582,10616,10772,10943,10984,10984
"Midland","MI",83314,83223,83156,83481,83426,83674,83701,83701
"Midland","TX",165318,172505,176832,170348,168206,171999,174713,174713
"Mifflin","PA",46290,46211,46138,46144,46187,45988,45952,45952
"Milam","TX",24939,25045,24823,24775,25189,25628,26033,26033
"Millard","UT",12821,12987,13188,13049,13175,13330,13476,13476
"Mille Lacs","MN",25861,26100,26277,26462,26892,27280,27379,27379
"Miller","AR",43736,43362,43257,42579,42499,42552,42861,42861
"Miller","GA",5813,5684,5718,5988,5886,5807,5869,5869
"Miller","MO",25202,25315,25619,24770,24943,25403,25478,25478
"Mills","IA",15060,15068,15109,14399,14464,14553,14583,14583
"Mills","TX",4917,4883,4873,4447,4497,4500,4571,4571
"Milwaukee","WI",950172,946969,945726,938527,924207,918661,921533,921533
"Miner","SD",2200,2204,2216,2310,2329,2304,2329,2329
"Mineral","CO",753,772,769,871,929,931,938,938
"Mineral","MT",4235,4307,4397,4565,4868,5058,5103,5103
"Mineral","NV",4455,4544,4505,4557,4615,4525,4549,4549
"Mineral","WV",27223,26953,26868,26890,26866,26855,26779,26779
"Mingo","WV",24142,23851,23424,23487,23094,22573,22509,22509
"Minidoka","ID",20722,20719,21039,21666,21945,22194,22489,22489
"Minnehaha","SD",189538,190992,193134,197686,199925,203971,206100,206100
"Missaukee","MI",15020,15101,15118,15057,15164,15213,15218,15218
"Mississippi","AR",42112,41236,40651,40544,39577,38896,39179,39179
"Mississippi","MO",13594,13394,13180,12130,12129,11688,11723,11723
"Missoula","MT",117834,118640,119600,118337,119806,121041,122114,122114
"Mitchell","GA",22317,22135,21863,21668,21266,21116,21342,21342
"Mitchell","IA",10563,10571,10586,10588,10563,10532,10554,10554
"Mitchell","KS",6137,6110,5979,5772,5757,5738,5745,5745
"Mitchell","NC",14992,14996,14964,14906,14982,15094,15287,15287
"Mitchell","TX",8215,8525,8545,9014,9050,8943,9085,9085
"Mobile","AL",414045,413908,413210,414353,413017,411411,414182,414182
"Modoc","CA",8876,8800,8841,8663,8571,8511,8498,8498
"Moffat","CO",13088,13183,13283,13264,13155,13177,13263,13263
"Mohave","AZ",207017,209292,212181,214176,216957,220816,222981,222981
"Moniteau","MO",16047,16186,16132,15213,15284,15220,15265,15265
"Monmouth","NJ",621990,620459,618795,642771,646392,644098,646125,646125
"Mono","CA",14354,14403,14444,13226,13261,12978,12957,12957
"Monona","IA",8724,8659,8615,8746,8595,8486,8504,8504
"Monongalia","WV",105782,105651,105612,105905,106487,106869,106563,106563
"Monroe","AL",21290,21062,20733,19704,19557,19404,19535,19535
"Monroe","AR",7013,6880,6701,6774,6660,6564,6612,6612
"Monroe","FL",76483,74757,74228,82852,82265,81708,83053,83053
"Monroe","GA",27163,27503,27578,28055,28729,29427,29741,29741
"Monroe","IA",7798,7768,7707,7597,7595,7550,7566,7566
"Monroe","IL",34179,34373,34637,34952,34993,35033,34943,34943
"Monroe","IN",146638,147230,148431,139571,140135,139745,140342,140342
"Monroe","KY",10597,10732,10650,11316,11269,11355,11390,11390
"Monroe","MI",149449,150174,150500,154893,155646,155609,155658,155658
"Monroe","MO",8596,8636,8644,8686,8720,8652,8678,8678
"Monroe","MS",35851,35543,35252,34138,33913,33577,33573,33573
"Monroe","NY",742724,742864,741770,757790,756547,752035,747987,747987
"Monroe","OH",13931,13787,13654,13349,13324,13234,13268,13268
"Monroe","PA",167895,169294,170271,168316,168629,167198,167065,167065
"Monroe","TN",46035,46269,46545,46395,46668,47740,48249,48249
"Monroe","WI",45715,46141,46253,46296,46246,46109,46254,46254
"Monroe","WV",13382,13289,13275,12380,12383,12296,12261,12261
"Montague","TX",19399,19584,19818,19994,20430,21063,21396,21396
"Montcalm","MI",63527,63936,63888,66648,67458,67433,67455,67455
"Monterey","CA",434534,433950,434061,438390,437249,432858,432147,432147
"Montezuma","CO",26112,26152,26183,25883,26216,26468,26639,26639
"Montgomery","AL",227265,226504,226486,228322,226953,226361,227886,227886
"Montgomery","AR",8890,8910,8986,8488,8638,8556,8619,8619
"Montgomery","GA",9024,9168,9172,8574,8654,8655,8748,8748
"Montgomery","IA",10112,9961,9917,10330,10325,10205,10226,10226
"Montgomery","IL",28781,28691,28414,28203,28154,28020,27948,27948
"Montgomery","IN",38343,38274,38338,37942,38061,38273,38437,38437
"Montgomery","KS",32390,32091,31829,31393,31202,30996,31032,31032
"Montgomery","KY",27913,28109,28157,28104,28231,28367,28455,28455
"Montgomery","MD",1046822,1048478,1050688,1060825,1055924,1052521,1055184,1055184
"Montgomery","MO",11378,11488,11551,11287,11429,11470,11504,11504
"Montgomery","MS",10143,9994,9775,9796,9704,9530,9529,9529
"Montgomery","NC",27269,27077,27173,25719,25853,25894,26225,26225
"Montgomery","NY",49163,49394,49221,49485,49611,49623,49356,49356
"Montgomery","OH",531467,531600,531687,537093,536169,533892,535249,535249
"Montgomery","PA",824303,826924,830915,856938,864022,864683,863995,863995
"Montgomery","TN",199771,205312,208993,221265,227841,235201,237708,237708
"Montgomery","TX",571615,589770,607391,625243,650261,678490,689194,689194
"Montgomery","VA",98142,98532,98535,99561,98835,98915,99281,99281
"Montmorency","MI",9233,9275,9328,9164,9302,9569,9573,9573
"Montour","PA",18270,18240,18230,18129,18103,18091,18077,18077
"Montrose","CO",41753,42206,42758,42817,43230,43811,44094,44094
"Moody","SD",6494,6502,6576,6343,6314,6349,6416,6416
"Moore","NC",97368,98805,100880,100267,102952,105531,106878,106878
"Moore","TN",6391,6457,6488,6471,6652,6742,6814,6814
"Moore","TX",21604,21083,20940,21264,21122,20996,21328,21328
"Mora","NM",4530,4487,4521,4192,4203,4169,4172,4172
"Morehouse Parish","LA",25655,25324,24874,25453,25000,24446,24359,24359
"Morgan","AL",118918,119203,119679,123288,123403,124211,125048,125048
