"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Bexar","TX",1956988,1981187,2003554,2015369,2030895,2059530,2092020,2092020
"Bibb","AL",22550,22367,22394,22183,22370,22005,22154,22154
"Bibb","GA",152840,152903,153159,157025,155985,156197,157863,157863
"Bienville Parish","LA",13631,13343,13241,12918,12800,12641,12596,12596
"Big Horn","MT",13483,13365,13319,13082,12932,12851,12965,12965
"Big Horn","WY",11859,11877,11790,11481,11645,11855,11910,11910
"Big Stone","MN",5004,4990,4991,5158,5162,5144,5163,5163
"Billings","ND",922,918,928,933,961,1018,1025,1025
"Bingham","ID",45884,46129,46811,48106,48898,49923,50585,50585
"Black Hawk","IA",132238,131723,131228,131034,130606,130274,130539,130539
"Blackford","IN",12028,11924,11758,12111,12056,11919,11970,11970
"Bladen","NC",33443,33151,32722,29629,29565,29446,29822,29822
"Blaine","ID",22373,22771,23021,24342,24767,24866,25196,25196
"Blaine","MT",6745,6774,6681,7005,6982,6936,6998,6998
"Blaine","NE",479,480,465,431,461,453,456,456
"Blaine","OK",9512,9454,9429,8702,8523,8409,8481,8481
"Blair","PA",123147,122503,121829,122651,122181,121032,120936,120936
"Blanco","TX",11481,11648,11931,11450,11890,12418,12614,12614
"Bland","VA",6354,6303,6280,6257,6179,6148,6171,6171
"Bleckley","GA",12764,12821,12873,12524,12255,12257,12388,12388
"Bledsoe","TN",14895,14883,15064,14954,14844,14798,14956,14956
"Blount","AL",57787,57771,57826,59102,59085,59512,59913,59913
"Blount","TN",129999,131331,133088,135649,137649,139958,141450,141450
"Blue Earth","MN",66916,67378,67653,69211,69361,69631,69884,69884
"Boise","ID",7347,7655,7831,7662,8121,8333,8444,8444
"Bolivar","MS",31718,31115,30628,30827,30180,29370,29367,29367
"Bollinger","MO",12280,12189,12133,10559,10578,10518,10549,10549
"Bon Homme","SD",6952,6910,6901,6973,7011,7062,7136,7136
"Bond","IL",16648,16637,16426,16688,16633,16566,16524,16524
"Bonner","ID",43654,44705,45739,47402,49617,51414,52096,52096
"Bonneville","ID",114488,116444,119062,124716,128045,129496,131212,131212
"Boone","AR",37459,37385,37432,37383,37890,38284,38562,38562
"Boone","IA",26443,26312,26234,26700,26776,26609,26663,26663
