branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
45,534,.022950819,7.0834756,8.2786884,2.3311474,15202,1,.55081969,.60983604,.026229508,38.813114,0,0,.085501857,.13770492,485821.4285714286
45,535,.015384615,1.0909542,7.961832,2.3435113,15202,1,.47328246,.58015269,.0076335878,39.316795,0,0,.10859729,.17175573,440303.5714285715
45,536,.033018868,7.4820795,8.7345133,2.2389381,15202,1,.52212387,.62831861,.026548672,39.261063,0,0,.10714286,.15929204,374946.4285714286
45,537,.019417476,12.663055,7.0092592,2.3333333,15202,1,.51851851,.60185188,.027777778,39.388889,0,0,.13186814,.16203703,329017.8571428572
45,538,.017045455,7.1001492,10.726368,2.1442785,15202,1,.5771144,.58706468,.024875622,39.860695,0,0,.056603774,.094527364,461250.0000435965
45,539,.033259425,25.20816,9.2947187,2.2674618,15202,1,.46507666,.59454852,.022146508,38.209541,0,0,.042596348,.081771724,1603580.355355399
45,540,.081967212,3.3131344,10.731343,2.0447762,15202,1,.55223882,.70149255,.014925373,41.388062,0,.014925373,.036363635,.074626863,101678.5714285714
44,480,.2,57.363777,14.511111,5.4888887,15386,0,.80000001,.84444445,0,47.044445,.24444444,.11111111,0,0,49542.7770124163
44,481,0,2.5029411,10.117647,2.7647059,15386,0,.58823532,.7647059,.05882353,46.35294,.29411766,.11764706,0,0,11901.78571428572
44,482,.35294119,229.46675,10.264706,3.2941177,15386,0,.5,.64705884,0,41.333332,.35294119,.05882353,0,0,17803.57142857143
44,483,.096774191,111.34742,9.0645161,3.1935484,15386,0,.77419353,.58064514,.032258064,47.733334,.16129032,.16129032,0,0,29767.85714285714
44,484,.17857143,144.02643,8.3571424,3.2142856,15386,0,.6785714,.60714287,0,47.07143,.17857143,.17857143,0,0,25821.42848423549
44,485,.15384616,22.067949,8.8974361,3.0512822,15386,0,.58974361,.69230771,0,46.358974,.15384616,.1025641,0,0,40803.57142857143
44,486,.1,164.5475,9.8500004,2.9000001,15386,0,.44999999,.69999999,.050000001,44.150002,.34999999,.15000001,0,0,21160.71428571429
44,487,0,15.766216,8.9459457,3.3243244,15386,0,.56756759,.67567569,.027027028,45.457142,.24324325,.13513513,0,0,26928.57142857143
44,488,.18518518,225.41185,7.8518519,3.074074,15386,0,.5925926,.66666669,.037037037,45.884617,.11111111,.22222222,0,0,25660.71428571429
44,489,0,4.0843749,6.09375,3.125,15386,0,.65625,.65625,0,46.25,.28125,.125,0,0,21553.57142857143
44,490,.27586207,57.95483,16.5,6.6896553,15386,0,.7241379,.67241377,.017241379,41.438595,.22413793,.12068965,0,0,39357.14285714286
44,491,.39024389,755.45782,8.8292685,3.3414633,15386,0,.48780489,.75609756,.048780486,43.804878,.12195122,.21951219,0,0,57803.57142857143
44,492,.17391305,78.920433,6.2173915,2.9130435,15386,0,.56521738,.65217394,.043478262,44.81818,.17391305,.17391305,0,0,30000
